f1-p,precision-p,recall-p,acc-p,f1-all,precision-all,recall-all,acc-all,final-f1,final-precision,final-recall,final-acc
f1-0:0.362818800997768 +- 0.01079749670089605,precision-0:0.3748183194972572 +- 0.02622454666361836,recall-0:0.3769257486163293 +- 0.018729207873915035,acc-0:0.3960880195599022 +- 0.02819697455909732,0.30429818262584307 +- 0.007665777271489274,0.36693754859718947 +- 0.013944019058232776,0.3384091141251936 +- 0.0018191554236544729,0.3345558272208639 +- 0.008586514876000612,0.3080423347196051 +- 0,0.3616981643297433 +- 0,0.33595942685242003 +- 0,0.33618581907090467 +- 0
f1-0:0.362818800997768 +- 0.01079749670089605 ,precision-0:0.3748183194972572 +- 0.02622454666361836,recall-0:0.3769257486163293 +- 0.018729207873915035,acc-0:0.3960880195599022 +- 0.02819697455909732,0.34759991010465374 +- 0.042886206934348296,0.4221713672592573 +- 0.007847369975207165,0.393411692828956 +- 0.03532751457047064,0.3634881825590872 +- 0.048552146727323504,0.3525750949806595 +- 0,0.43272723038720046 +- 0,0.39285645760141635 +- 0,0.363080684596577 +- 0
f1-0:0.362818800997768 +- 0.01079749670089605,precision-0:0.3748183194972572 +- 0.02622454666361836,recall-0:0.3769257486163293 +- 0.018729207873915035,acc-0:0.3960880195599022 +- 0.02819697455909732,0.362818800997768 +- 0.01079749670089605,0.3748183194972572 +- 0.02622454666361836,0.3769257486163293 +- 0.018729207873915035,0.3960880195599022 +- 0.02819697455909732,0.37614520839263416 +- 0,0.3809013048143483 +- 0,0.3841277088720237 +- 0,0.39486552567237165 +- 0
f1-0: 0.3125959304725395 +- 0.03921121922096411,precision-0: 0.3833865290023776 +- 0.030789841883356175 ,recall-0: 0.34896355187508965 +- 0.024361497384863443,acc-0: 0.3528932355338223 +- 0.04587746637814875,0.3125959304725395 +- 0.03921121922096411,0.3833865290023776 +- 0.030789841883356175,0.34896355187508965 +- 0.024361497384863443,0.3528932355338223 +- 0.04587746637814875,0.289800767851315 +- 0,0.4024209543687039 +- 0,0.35257155103475707 +- 0,0.3606356968215159 +- 0
f1-0: 0.3286930839039871 +- 0.03523153325610673  f1-1: 0.362818800997768 +- 0.01079749670089605 ,precision-1: 0.3748183194972572 +- 0.02622454666361836  precision-0: 0.3525424237417412 +- 0.07443260277842866 ,recall-0: 0.3568505768632404 +- 0.026984964293065447  recall-1: 0.3769257486163293 +- 0.018729207873915035 ,acc-0: 0.38671556642216787 +- 0.04228368201336842  acc-1: 0.3960880195599022 +- 0.02819697455909732 ,0.3286930839039871 +- 0.03523153325610673,0.3525424237417412 +- 0.07443260277842866,0.3568505768632404 +- 0.026984964293065447,0.38671556642216787 +- 0.04228368201336842,0.36266827256703166 +- 0,0.36246978772593524 +- 0,0.36290047641610723 +- 0,0.39853300733496333 +- 0
f1-0: 0.28281688766023905 +- 0.0589102977898183  f1-1: 0.362818800997768 +- 0.01079749670089605 ,precision-1: 0.3748183194972572 +- 0.02622454666361836  precision-0: 0.30685407631223993 +- 0.0829266084300614 ,recall-0: 0.34262205084583036 +- 0.04444731307467858  recall-1: 0.3769257486163293 +- 0.018729207873915035 ,acc-0: 0.37204563977180116 +- 0.055785563194088054  acc-1: 0.3960880195599022 +- 0.02819697455909732 ,0.28281688766023905 +- 0.0589102977898183,0.30685407631223993 +- 0.0829266084300614,0.34262205084583036 +- 0.04444731307467858,0.37204563977180116 +- 0.055785563194088054,0.24047793243327173 +- 0,0.21304877873872327 +- 0,0.3007025861148483 +- 0,0.38141809290953543 +- 0
f1-0: 0.34685198493428443 +- 0.06647676956832199 ,precision-0: 0.4460666769148494 +- 0.01749322083164537 ,recall-0: 0.41648416280583783 +- 0.05491783773230886 ,acc-0: 0.37856560717196414 +- 0.07565976382535347 ,0.34685198493428443 +- 0.06647676956832199,0.4460666769148494 +- 0.01749322083164537,0.41648416280583783 +- 0.05491783773230886,0.37856560717196414 +- 0.07565976382535347,0.3573018552266054 +- 0,0.43394927843152065 +- 0,0.42277802114034824 +- 0,0.39119804400978 +- 0
f1-0: 0.3951493225905228 +- 0.023187419893144812 ,precision-0: 0.45140199749726534 +- 0.05103699556386977 ,recall-0: 0.44202632023110444 +- 0.005448907004034814 ,acc-0: 0.4250203748981255 +- 0.016279530852027865 ,0.3951493225905228 +- 0.023187419893144812,0.45140199749726534 +- 0.05103699556386977,0.44202632023110444 +- 0.005448907004034814,0.4250203748981255 +- 0.016279530852027865,0.4133741743593733 +- 0,0.4524246960001265 +- 0,0.44760550201036997 +- 0,0.43643031784841074 +- 0
f1-0: 0.403841888924531 +- 0.03611754121903351 ,precision-0: 0.42155196484668417 +- 0.03797106433277638 ,recall-0: 0.45224218228908025 +- 0.013984395433703932 ,acc-0: 0.44865525672371637 +- 0.01882005417890055 ,0.403841888924531 +- 0.03611754121903351,0.42155196484668417 +- 0.03797106433277638,0.45224218228908025 +- 0.013984395433703932,0.44865525672371637 +- 0.01882005417890055,0.4282841556941963 +- 0,0.4623473486971997 +- 0,0.47144007443317393 +- 0,0.460880195599022 +- 0
f1-0: 0.3341304836015943 +- 0.04099351951111529 ,precision-0: 0.48014171530693595 +- 0.0184880493178464 ,recall-0: 0.39297727167035285 +- 0.02253543841913814 ,acc-0: 0.34678076609616953 +- 0.03239801012273996 ,0.3341304836015943 +- 0.04099351951111529,0.48014171530693595 +- 0.0184880493178464,0.39297727167035285 +- 0.02253543841913814,0.34678076609616953 +- 0.03239801012273996,0.3317540086659739 +- 0,0.46246414995107576 +- 0,0.3877703966831579 +- 0,0.343520782396088 +- 0
f1-0: 0.30804378030254553 +- 0.031254409723664126 ,precision-0: 0.35588650833282237 +- 0.030866306157644005 ,recall-0: 0.3401638540132439 +- 0.01674249485977434 ,acc-0: 0.3353708231458843 +- 0.0247636749865338 ,0.30804378030254553 +- 0.031254409723664126,0.35588650833282237 +- 0.030866306157644005,0.3401638540132439 +- 0.01674249485977434,0.3353708231458843 +- 0.0247636749865338,0.31961529859091925 +- 0,0.3658516761229568 +- 0,0.34533083705125217 +- 0,0.33985330073349634 +- 0
f1-0: 0.30001704074629354 +- 0.019401171633156182 ,precision-0: 0.4475779039363245 +- 0.024095919236116967 ,recall-0: 0.37744257338917186 +- 0.029087293422565098 ,acc-0: 0.32885085574572126 +- 0.03185529149338725 ,0.30001704074629354 +- 0.019401171633156182,0.4475779039363245 +- 0.024095919236116967,0.37744257338917186 +- 0.029087293422565098,0.32885085574572126 +- 0.03185529149338725,0.31352967420162375 +- 0,0.4447145016129363 +- 0,0.38135034031193116 +- 0,0.33618581907090467 +- 0
f1-0: 0.28852701039378587 +- 0.08969907761958094 ,precision-0: 0.4817216653120931 +- 0.03193818776530466 ,recall-0: 0.3675322786032051 +- 0.026862082938896855 ,acc-0: 0.3162184189079055 +- 0.05939274066487735 ,0.28852701039378587 +- 0.08969907761958094,0.4817216653120931 +- 0.03193818776530466,0.3675322786032051 +- 0.026862082938896855,0.3162184189079055 +- 0.05939274066487735,0.3296029437971278 +- 0,0.4832074096982762 +- 0,0.3852896160931061 +- 0,0.3374083129584352 +- 0
f1-0: 0.33489168037666905 +- 0.08385679057464944 ,precision-0: 0.4273383312012866 +- 0.07687099933113022 ,recall-0: 0.45144860711875445 +- 0.05499444542892513 ,acc-0: 0.42746536267318663 +- 0.10591576794543177 ,0.33489168037666905 +- 0.08385679057464944,0.4273383312012866 +- 0.07687099933113022,0.45144860711875445 +- 0.05499444542892513,0.42746536267318663 +- 0.10591576794543177,0.3609435184238334 +- 0,0.3538890249163431 +- 0,0.4772039732814998 +- 0,0.44987775061124696 +- 0
f1-0: 0.40059161521735437 +- 0.049207570186451936 ,precision-0: 0.4456596754151331 +- 0.05753323521002874 ,recall-0: 0.44765451779757276 +- 0.020272883481174387 ,acc-0: 0.47147514262428686 +- 0.03635420852435362 ,0.40059161521735437 +- 0.049207570186451936,0.4456596754151331 +- 0.05753323521002874,0.44765451779757276 +- 0.020272883481174387,0.47147514262428686 +- 0.03635420852435362,0.43490234440826225 +- 0,0.4565787011042486 +- 0,0.4879332815822015 +- 0,0.5293398533007335 +- 0
f1-0: 0.4364131831120962 +- 0.04093957398662828 ,precision-0: 0.5479497655020601 +- 0.019568630355304213 ,recall-0: 0.46759619244353257 +- 0.019618093064305647 ,acc-0: 0.45273023634881826 +- 0.048659761517776644 ,0.4364131831120962 +- 0.04093957398662828,0.5479497655020601 +- 0.019568630355304213,0.46759619244353257 +- 0.019618093064305647,0.45273023634881826 +- 0.048659761517776644,0.5275361939777122 +- 0,0.6081659569938888 +- 0,0.5308607045763762 +- 0,0.5256723716381418 +- 0
f1-0: 0.42116853841956914 +- 0.04305420031047555 ,precision-0: 0.47653191995457955 +- 0.015216391275984203 ,recall-0: 0.4655187396948056 +- 0.015485078543226062 ,acc-0: 0.4449877750611247 +- 0.04204739247413163 ,0.42116853841956914 +- 0.04305420031047555,0.47653191995457955 +- 0.015216391275984203,0.4655187396948056 +- 0.015485078543226062,0.4449877750611247 +- 0.04204739247413163,0.4292851392336328 +- 0,0.47623437931393453 +- 0,0.4735087104829863 +- 0,0.4474327628361858 +- 0
f1-0: 0.30792427050182125 +- 0.14272887487985073 ,precision-0: 0.3938768475735585 +- 0.07097261053872186 ,recall-0: 0.4171301486043762 +- 0.07466702617458412 ,acc-0: 0.3960880195599022 +- 0.12412377235548475 ,0.30792427050182125 +- 0.14272887487985073,0.3938768475735585 +- 0.07097261053872186,0.4171301486043762 +- 0.07466702617458412,0.3960880195599022 +- 0.12412377235548475,0.5064321697489726 +- 0,0.5310900428547488 +- 0,0.5198372473514401 +- 0,0.5513447432762836 +- 0
f1-0: 0.32812807576751335 +- 0.08193584603238432 ,precision-0: 0.3705915132372005 +- 0.03345283504803427 ,recall-0: 0.4387586673299426 +- 0.07470847892491478 ,acc-0: 0.4311328443357783 +- 0.09672648930556076 ,0.32812807576751335 +- 0.08193584603238432,0.3705915132372005 +- 0.03345283504803427,0.4387586673299426 +- 0.07470847892491478,0.4311328443357783 +- 0.09672648930556076,0.45478105237324207 +- 0,0.5687412095639943 +- 0,0.5142685263686326 +- 0,0.5647921760391198 +- 0
f1-0: 0.4889733707478963 +- 0.04869238967030445 ,precision-0: 0.5508653483563933 +- 0.005134306320640904 ,recall-0: 0.5184876962063298 +- 0.019870732457098014 ,acc-0: 0.49470252648736757 +- 0.05017191965105435 ,0.4889733707478963 +- 0.04869238967030445,0.5508653483563933 +- 0.005134306320640904,0.5184876962063298 +- 0.019870732457098014,0.49470252648736757 +- 0.05017191965105435,0.49982676111821017 +- 0,0.5404654063752217 +- 0,0.5272476105210245 +- 0,0.5024449877750611 +- 0
f1-0: 0.45975801176475406 +- 0.027243441938275298 ,precision-0: 0.5250833949616048 +- 0.024536563001045546 ,recall-0: 0.48942597761562995 +- 0.006816582760473246 ,acc-0: 0.5256723716381418 +- 0.0 ,0.45975801176475406 +- 0.027243441938275298,0.5250833949616048 +- 0.024536563001045546,0.48942597761562995 +- 0.006816582760473246,0.5256723716381418 +- 0.0,0.45851182777562177 +- 0,0.5508223440723706 +- 0,0.49724837692341795 +- 0,0.5501222493887531 +- 0
f1-0: 0.5263126993094325 +- 0.009245260829665404 ,precision-0: 0.5734194816791605 +- 0.004920413436101801 ,recall-0: 0.5203987879640641 +- 0.013290856436159123 ,acc-0: 0.5330073349633252 +- 0.01240695790353572 ,0.5263126993094325 +- 0.009245260829665404,0.5734194816791605 +- 0.004920413436101801,0.5203987879640641 +- 0.013290856436159123,0.5330073349633252 +- 0.01240695790353572,0.5462103924860552 +- 0,0.5876817918365196 +- 0,0.5371505159015489 +- 0,0.5550122249388753 +- 0
f1-0: 0.33524138126101954 +- 0.09881345206608685 ,precision-0: 0.4460188721774481 +- 0.1767131790216168 ,recall-0: 0.39208945899687575 +- 0.07921980648706232 ,acc-0: 0.44254278728606355 +- 0.06997109056848014 ,0.33524138126101954 +- 0.09881345206608685,0.4460188721774481 +- 0.1767131790216168,0.39208945899687575 +- 0.07921980648706232,0.44254278728606355 +- 0.06997109056848014,0.2972874784387355 +- 0,0.27653354721759493 +- 0,0.3581694321652038 +- 0,0.4449877750611247 +- 0
f1-0: 0.5579441464498338 +- 0.013710984113296885 ,precision-0: 0.5829548645180748 +- 0.006978781153683166 ,recall-0: 0.5514462331141697 +- 0.016759304712326457 ,acc-0: 0.5778321108394459 +- 0.007368843243694 ,0.5579441464498338 +- 0.013710984113296885,0.5829548645180748 +- 0.006978781153683166,0.5514462331141697 +- 0.016759304712326457,0.5778321108394459 +- 0.007368843243694,0.5459759268360126 +- 0,0.5878999565028273 +- 0,0.5355894723845271 +- 0,0.5721271393643031 +- 0
f1-0: 0.3525318551959588 +- 0.05571578200803168 ,precision-0: 0.47958057562525247 +- 0.09481128273303692 ,recall-0: 0.43794520038604134 +- 0.03381129856911684 ,acc-0: 0.4441727791361043 +- 0.07587673339581352 ,0.3525318551959588 +- 0.05571578200803168,0.47958057562525247 +- 0.09481128273303692,0.43794520038604134 +- 0.03381129856911684,0.4441727791361043 +- 0.07587673339581352,0.5302604212125045 +- 0,0.5485204505160948 +- 0,0.5246812465236822 +- 0,0.5550122249388753 +- 0
f1-0: 0.24837831680261638 +- 0.06223516495328018 ,precision-0: 0.5296889445082112 +- 0.046764792628963665 ,recall-0: 0.3814986162299456 +- 0.02073340585539326 ,acc-0: 0.3162184189079055 +- 0.047541234912477054 ,0.24837831680261638 +- 0.06223516495328018,0.5296889445082112 +- 0.046764792628963665,0.3814986162299456 +- 0.02073340585539326,0.3162184189079055 +- 0.047541234912477054,0.35190224061152214 +- 0,0.5038624338624339 +- 0,0.4219565505128012 +- 0,0.3643031784841076 +- 0
